mois,annee,TNN,TNM,TMM,TXM,TXX,RR,ENS,Rafale,nombre_d_incendies,surface_moyenne
11,2011,-3.1,4.8,11.083333333333334,17.3,23.1,49.9,126.4,77.8,3.0,1701.6666666666667
11,2012,-5.3,3.7,9.4,15.4,22.1,108.8,119.1,101.9,1.0,500.0
11,2013,-6.0,1.2,8.576923076923077,13.4,20.9,169.3,89.0,110.5,0.0,0.0
11,2014,-5.6,3.6,12.65,17.0,23.9,188.8,87.1,109.1,3.0,110.0
11,2015,-3.6,6.1,12.24,17.5,27.2,110.2,127.2,99.7,2.0,585.0
11,2016,-2.5,4.5,10.25294117647059,14.5,23.1,119.4,154.2,90.7,3.0,188.33333333333334
11,2017,-4.7,1.6,8.904761904761905,15.1,23.6,84.5,163.2,80.3,3.0,3400.0
11,2018,-6.4,3.8,11.414285714285715,26.5,35.6,113.2,140.8,88.9,0.0,0.0
11,2019,-2.8,4.8,10.023809523809524,14.0,19.2,304.2,54.4,163.4,0.0,0.0
11,2020,-3.6,3.8,11.888,18.3,25.1,285.8,167.3,57.6,0.0,0.0
11,2021,-4.9,2.9,8.46923076923077,13.4,18.9,128.8,110.7,100.1,0.0,0.0
11,2022,-1.2,5.4,12.268181818181818,17.4,24.3,198.8,112.5,113.0,2.0,52.5
12,2006,-6.6,1.6,6.4111111111111105,10.4,18.5,67.7,94.5,118.3,0.0,0.0
12,2007,-6.7,1.6,5.96,10.6,15.0,75.2,117.5,114.8,0.0,0.0
12,2008,-5.4,2.1,7.136363636363637,10.9,16.7,85.6,91.3,94.6,0.0,0.0
12,2009,-7.0,3.4,7.818181818181818,12.1,18.9,107.7,80.6,92.4,0.0,0.0
12,2010,-7.2,0.1,5.054545454545455,9.6,19.8,101.3,109.3,161.1,0.0,0.0
12,2011,-6.0,0.8,7.208333333333333,13.8,18.4,224.8,83.1,130.3,0.0,0.0
12,2012,-6.0,2.2,7.633333333333333,13.4,20.8,163.7,116.3,112.0,0.0,0.0
12,2013,-4.4,1.2,7.007692307692308,12.6,19.2,75.2,147.8,101.2,0.0,0.0
12,2014,-6.3,2.6,6.95,11.3,17.7,72.6,84.6,85.0,0.0,0.0
12,2015,-1.4,3.9,10.133333333333333,16.1,20.9,20.2,142.8,61.2,3.0,7335.333333333333
12,2016,-5.9,-0.2,7.947058823529411,13.5,17.5,22.8,154.2,48.2,1.0,30.0
12,2017,-7.9,1.8,6.704761904761905,11.4,17.2,182.7,80.6,136.4,0.0,0.0
12,2018,-17.8,-6.3,8.952380952380953,13.8,18.6,121.4,65.8,104.0,0.0,0.0
12,2019,-3.6,4.5,9.647619047619047,13.9,18.2,140.6,76.3,148.3,0.0,0.0
12,2020,-3.9,3.3,8.553846153846154,13.0,18.7,322.8,78.0,137.9,0.0,0.0
12,2021,-6.6,2.0,8.303571428571429,13.7,20.3,198.2,120.7,100.8,0.0,0.0
12,2022,-7.8,3.4,8.49090909090909,13.3,21.3,94.6,94.2,88.9,1.0,8.0
